id,name,category,group,lat,lon,watershed,mlra_name,elevation_m,slope_deg,aspect_deg,nlcd_class,cdl_class,soil_map_unit,ecological_site,soil_taxonomy,parent_material,temp_regime,moisture_regime,ph,organic_matter_pct,cec,sand_pct,silt_pct,clay_pct,dist_to_town_km,dist_to_road_km,dist_to_forest_boundary_km
clhs-Morgan_Gulch-Yampa_River-3,cLHS site 3 — Morgan Gulch-Yampa River,clhs,Morgan Gulch-Yampa River,40.3801733763,-107.8110446317,Morgan Gulch-Yampa River,Cool Central Desertic Basins and Plateaus,1947.1,10.0,227.6,Shrub/Scrub,Shrubland,"Forelle loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",loess and in alluvium derived from shale and sandstone,frigid,Aridic (torric),7.6,0.68,12.8,40.5,37.3,22.2,23.1,1.2,26.3
clhs-Morgan_Gulch-Yampa_River-4,cLHS site 4 — Morgan Gulch-Yampa River,clhs,Morgan Gulch-Yampa River,40.3876293817,-107.8554132229,Morgan Gulch-Yampa River,Cool Central Desertic Basins and Plateaus,1884.5,4.7,120.3,Shrub/Scrub,Shrubland,"Pinelli loam, 3 to 12 percent slopes",Clayey Foothills and Basins West (Cy),"Fine, montmorillonitic Borollic Haplargids",alluvium derived from shale and in loess,frigid,Aridic (torric),7.2,1.25,12.5,42.7,38.3,19.0,23.5,0.4,30.0
clhs-Morgan_Gulch-Yampa_River-5,cLHS site 5 — Morgan Gulch-Yampa River,clhs,Morgan Gulch-Yampa River,40.4553737803,-107.7598488598,Morgan Gulch-Yampa River,Cool Central Desertic Basins and Plateaus,1916.7,7.0,31.3,Shrub/Scrub,Shrubland,"Forelle loam, 12 to 25 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",loess,frigid,Aridic (torric),7.5,0.68,12.8,40.5,37.3,22.2,15.0,1.9,28.8
kmeans-Lay_Creek-1,K-Means site 1 — Lay Creek,kmeans,Lay Creek,40.5429700437,-107.8911245475,Lay Creek,Cool Central Desertic Basins and Plateaus,1967.2,5.3,241.7,Shrub/Scrub,Shrubland,"Coyet-Crestman, moist complex, 20 to 50 percent slopes",Sandy Slopes,"Mixed, frigid Ustic Torripsamments",alluvium and residuum derived from sandstone,frigid,Aridic (torric),7.9,0.52,5.1,82.5,9.0,8.5,16.0,1.0,43.4
kmeans-Lay_Creek-2,K-Means site 2 — Lay Creek,kmeans,Lay Creek,40.6881304817,-107.8650036814,Lay Creek,Cool Central Desertic Basins and Plateaus,2121.7,4.9,276.9,Shrub/Scrub,Shrubland,"Forelle loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",loess and in alluvium derived from shale and sandstone,frigid,Aridic (torric),7.6,0.68,12.8,40.5,37.3,22.2,26.1,0.9,36.3
kmeans-Lay_Creek-3,K-Means site 3 — Lay Creek,kmeans,Lay Creek,40.7080724355,-107.8581598522,Lay Creek,Cool Central Desertic Basins and Plateaus,2133.3,5.3,123.9,Shrub/Scrub,Shrubland,"Berlake-Maysprings complex, 3 to 12 percent slopes",Sandy Slopes,"Fine-loamy, mixed Aridic Argiborolls",alluvium and residuum derived from sandstone,frigid,,7.6,1.5,7.5,67.4,19.1,13.5,28.1,1.1,35.3
kmeans-Lay_Creek-4,K-Means site 4 — Lay Creek,kmeans,Lay Creek,40.6135632508,-107.8989727428,Lay Creek,Cool Central Desertic Basins and Plateaus,2011.3,5.5,92.4,Shrub/Scrub,Shrubland,"Maysprings coarse sandy loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",alluvium and residuum derived from sanstone,frigid,Aridic (torric),7.2,1.5,7.5,68.3,19.2,12.5,18.5,3.6,41.7
kmeans-Lay_Creek-5,K-Means site 5 — Lay Creek,kmeans,Lay Creek,40.5670345682,-107.8854383006,Lay Creek,Cool Central Desertic Basins and Plateaus,1998.3,12.8,167.7,Shrub/Scrub,Shrubland,"Coyet-Crestman, moist complex, 20 to 50 percent slopes",Sandy Slopes,"Mixed, frigid Ustic Torripsamments",alluvium and residuum derived from sandstone,frigid,Aridic (torric),7.9,0.52,5.1,82.5,9.0,8.5,17.1,0.8,43.1
clhs-Lay_Creek-1,cLHS site 1 — Lay Creek,clhs,Lay Creek,40.7170829811,-107.6968426433,Lay Creek,Cool Central Desertic Basins and Plateaus,2189.0,4.4,192.8,Shrub/Scrub,Shrubland,"Berlake-Taffom-Gretdivid complex, 10 to 20 percent slopes",Rolling Loam,"Fine-loamy, mixed Aridic Argiborolls",colluvium and residuum derived from sandstone,frigid,,7.0,2.5,12.5,66.3,18.7,15.0,23.2,0.4,21.7
clhs-Lay_Creek-2,cLHS site 2 — Lay Creek,clhs,Lay Creek,40.6911520018,-107.8612846721,Lay Creek,Cool Central Desertic Basins and Plateaus,2103.4,6.7,57.3,Shrub/Scrub,Shrubland,"Forelle loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",loess and in alluvium derived from shale and sandstone,frigid,Aridic (torric),7.6,0.68,12.8,40.5,37.3,22.2,26.6,1.4,35.9
clhs-Lay_Creek-3,cLHS site 3 — Lay Creek,clhs,Lay Creek,40.611864499,-107.8495684821,Lay Creek,Cool Central Desertic Basins and Plateaus,2013.6,5.4,226.1,Shrub/Scrub,Shrubland,"Grieves loamy fine sand, 1 to 12 percent slopes",Sandy Slopes,"Coarse-loamy, mixed (calcareous), frigid Ustic Torriorthents",alluvium derived from sandstone,frigid,Aridic (torric),8.1,0.42,7.5,74.4,14.1,11.5,21.9,0.3,38.0
clhs-Lay_Creek-4,cLHS site 4 — Lay Creek,clhs,Lay Creek,40.6031136826,-107.6640672778,Lay Creek,Cool Central Desertic Basins and Plateaus,2046.1,2.2,155.2,Shrub/Scrub,Shrubland,"Berlake sandy loam, 3 to 12 percent slopes",Sandy Slopes,"Fine-loamy, mixed Aridic Argiborolls",alluvium and residuum derived from sandstone,frigid,,7.6,1.5,7.5,67.0,19.5,13.5,10.6,0.5,25.7
clhs-Lay_Creek-5,cLHS site 5 — Lay Creek,clhs,Lay Creek,40.5129708222,-107.9384526488,Lay Creek,Cool Central Desertic Basins and Plateaus,1945.3,8.7,352.8,Evergreen Forest,Evergreen Forest,"Cushool fine sandy loam, 3 to 12 percent slopes",Rolling Loam,"Fine-loamy, mixed Borollic Haplargids",residuum derived from sandstone,frigid,Aridic (torric),7.6,1.4,10.7,67.7,16.5,15.8,11.7,0.4,43.9
