month,swe_in_eom,precip_in,vwc_pct_2in,vwc_pct_8in,vwc_pct_20in,SURCEDCO_cfs_mean,SURACECO_cfs_mean
2018-06,0.0,0.2,27.84,31.98,39.97,35.59,22.73
2018-07,0.0,0.7,15.95,21.87,34.38,22.32,12.17
2018-08,0.0,2.4,20.85,21.04,31.9,17.08,9.61
2018-09,0.0,1.5,33.95,29.75,37.9,8.34,3.91
2018-10,3.5,8.5,39.28,37.64,40.25,11.43,12.6
2018-11,5.9,3.0,38.75,37.22,40.15,,4.56
2018-12,9.9,3.9,38.48,36.76,39.6,,3.39
2019-01,16.6,6.4,38.36,36.68,39.43,,3.54
2019-02,24.8,8.0,38.68,36.85,39.34,,3.62
2019-03,35.7,9.4,38.81,36.99,39.33,,5.93
2019-04,35.2,3.3,39.4,37.92,39.78,46.98,64.88
2019-05,39.1,6.6,40.78,41.18,40.66,101.84,93.67
2019-06,11.8,0.9,40.87,41.29,40.71,260.83,180.14
2019-07,0.0,3.2,40.9,41.22,40.84,125.29,71.5
2019-08,0.0,0.3,35.64,37.09,40.44,68.29,38.19
2019-09,0.0,1.2,25.77,25.08,38.63,52.83,25.01
2019-10,0.8,1.1,22.09,22.78,35.78,24.75,14.74
2019-11,5.2,4.1,19.32,21.48,35.28,,5.28
2019-12,9.5,4.2,21.44,22.06,35.38,,5.82
2020-01,13.2,3.4,22.26,22.15,35.49,,5.8
2020-02,14.8,1.4,23.11,22.6,35.56,,5.74
2020-03,20.4,5.5,23.32,22.73,35.56,,6.06
2020-04,19.5,1.4,26.22,23.14,35.63,16.44,20.98
2020-05,0.6,1.1,38.48,38.39,40.66,66.5,54.94
2020-06,0.0,0.9,38.01,38.78,40.63,46.76,25.02
2020-07,0.0,1.6,21.83,24.3,38.96,35.89,17.02
2020-08,0.0,0.7,20.55,22.0,33.64,35.15,16.46
2020-09,0.0,1.6,35.82,30.14,35.88,16.09,6.67
2020-10,0.2,0.6,30.82,25.5,32.91,12.41,8.85
2020-11,3.1,3.0,27.28,22.67,31.92,,2.35
2020-12,6.7,3.3,24.5,22.06,31.73,,2.25
2021-01,10.2,3.4,24.06,21.9,31.66,,2.46
2021-02,15.1,4.6,26.12,22.11,31.73,,2.93
2021-03,20.3,5.1,27.43,22.25,31.79,,4.11
2021-04,17.3,1.3,32.91,26.01,33.23,15.08,19.57
2021-05,0.8,1.9,40.64,40.58,40.73,34.57,35.84
2021-06,0.0,1.1,40.42,40.19,40.7,33.97,15.97
2021-07,0.0,4.5,,,,34.5,20.31
2021-08,0.0,2.1,,,,24.62,15.89
2021-09,0.3,2.4,,,,19.21,10.17
2021-10,3.5,4.7,,,,11.54,10.31
2021-11,4.6,1.6,,,,,4.44
2021-12,18.5,12.4,,,,,3.44
2022-01,21.1,3.5,,,,,3.68
2022-02,23.5,2.0,,,,,4.25
2022-03,28.5,5.6,,,,,7.1
2022-04,29.1,1.4,,,,40.28,51.72
2022-05,10.2,1.0,,,,106.91,80.65
2022-06,0.0,1.4,,,,95.51,51.29
2022-07,0.0,3.2,38.95,38.68,40.32,44.43,25.67
2022-08,0.0,3.5,39.74,39.21,40.0,36.75,20.6
2022-09,0.0,2.3,38.84,38.69,40.15,28.99,15.73
2022-10,3.0,4.6,40.3,39.66,40.48,23.29,14.51
2022-11,5.8,3.2,39.93,38.28,39.88,,6.55
2022-12,12.3,6.6,39.98,38.12,39.8,,5.56
2023-01,25.6,75.7,40.09,38.39,39.83,,6.44
2023-02,31.7,34.4,40.1,38.46,39.85,,6.16
2023-03,46.0,13.2,40.1,38.39,39.8,,6.92
2023-04,49.4,3.5,40.15,38.43,39.91,27.44,41.26
2023-05,33.9,1.5,40.78,40.89,40.71,297.35,316.26
2023-06,2.7,1.6,40.96,41.38,40.8,312.7,206.43
2023-07,0.0,0.0,40.62,40.87,40.8,106.2,55.35
2023-08,0.0,1.7,31.54,34.19,37.95,59.97,28.96
2023-09,0.0,0.9,29.22,30.21,34.35,44.58,19.54
2023-10,1.2,3.7,37.54,35.38,33.88,17.68,8.91
2023-11,4.5,3.5,38.4,36.28,36.02,,6.19
2023-12,6.8,2.1,37.97,35.44,36.61,,6.06
2024-01,10.8,3.7,37.46,34.83,36.82,,6.07
2024-02,15.7,4.6,37.41,34.61,36.92,,6.2
2024-03,20.7,4.4,37.65,34.76,37.0,,6.87
2024-04,17.0,2.5,39.06,36.7,38.39,33.69,38.03
2024-05,9.1,3.0,40.51,40.26,40.74,54.31,45.36
2024-06,0.0,3.4,40.84,41.0,40.96,71.57,42.85
2024-07,0.0,2.0,39.87,38.44,40.53,41.82,17.53
2024-08,0.0,6.9,40.07,39.27,40.18,35.01,15.43
2024-09,0.0,2.7,40.46,39.98,42.0,29.52,12.89
2024-10,2.6,3.2,39.96,38.94,41.6,18.17,9.66
2024-11,5.6,3.2,40.05,38.8,,,4.07
2024-12,7.3,1.7,40.05,38.97,,,4.43
2025-01,8.8,1.3,40.09,38.96,,,4.17
2025-02,11.8,2.7,39.95,38.8,,,4.16
2025-03,15.9,4.4,40.07,38.8,,,6.83
2025-04,12.4,1.2,40.42,39.57,,26.18,26.68
2025-05,0.0,1.4,40.83,40.92,,36.24,28.07
2025-06,0.0,1.0,38.04,38.21,,36.8,19.02
2025-07,0.0,0.2,24.24,25.54,,36.38,19.1
2025-08,0.0,1.6,22.35,23.05,,28.22,11.13
2025-09,0.0,2.3,34.61,32.01,,16.98,8.29
2025-10,0.4,6.5,39.63,38.75,,12.12,10.18
2025-11,2.5,2.2,24.85,29.2,,,3.77
2025-12,4.8,2.4,23.72,26.35,,,4.14
