year,peak_swe_in,total_precip_in,SURACECO_hydroyear_volume_acft,SURCEDCO_hydroyear_volume_acft,diverted_upstream_of_SURCEDCO_acft,diverted_upstream_of_SURACECO_acft,gaged_plus_upstream_diverted_SURCEDCO_acft,gaged_plus_upstream_diverted_SURACECO_acft,gaged_runoff_in__SURCEDCO,runoff_ratio_gaged_only__SURCEDCO,gaged_plus_upstream_diverted_runoff_in__SURCEDCO,runoff_ratio_gaged_plus_upstream_diverted__SURCEDCO,gaged_runoff_in__SURACECO,runoff_ratio_gaged_only__SURACECO,gaged_plus_upstream_diverted_runoff_in__SURACECO,runoff_ratio_gaged_plus_upstream_diverted__SURACECO
2009,28.3,41.1,19915.7134731,30363.524251830004,24677.0606,48731.8911,55040.584851830004,68647.6045731,20.777959113934767,0.5055464504606999,37.664633794591694,0.9164144475569755,9.699211107029221,0.23599053788392266,33.43227495443182,0.8134373468231586
2010,27.6,42.5,16672.004293680002,24862.40071533,30715.516200000002,54695.0625,55577.91691533,71367.06679368,17.013504139140057,0.4003177444503543,38.03233365556341,0.8948784389544332,8.119482610558443,0.19104664966019866,34.75668837354546,0.8178044323187167
2011,41.3,47.0,23956.79300511,35727.868455690004,11200.575799999999,42550.1069,46928.44425569,66506.89990511,24.448815092853565,0.5201875551670971,32.11344269321852,0.6832647381535856,11.667269320670455,0.24823977278022244,32.389723979761364,0.689143063399178
2012,20.1,33.1,10320.47271093,16668.69191715,22262.0682,37621.6839,38930.76011715,47942.156610930004,11.406495381261406,0.3446071112163567,26.64057489768476,0.8048512053681196,5.026204242336039,0.15184907076543924,23.348452894933445,0.7053913261309197
2013,20.7,37.2,11837.99735724,13752.94768338,40955.85999999999,51188.375199999995,54708.80768337999,63026.37255723999,9.41123244756843,0.2529901195582911,37.43759649866331,1.0063870026522395,5.765258453201298,0.15498006594627145,30.694661959694805,0.8251253214971721
2014,26.5,43.4,19770.504439710003,25839.57162627,40278.42,62329.4793,66117.99162627,82099.98373971,17.682188612867243,0.40742370075730977,45.24497602162637,1.042510968240239,9.62849242193669,0.22185466409992374,39.98375831479383,0.921284753797093
2015,17.3,38.6,18175.36704273,21357.84684282,25210.0256,48126.5117,46567.87244282,66301.87874273,14.61531490156478,0.37863510107680776,31.86670103295164,0.8255622029262082,8.851639793537336,0.22931709309682216,32.28987601106981,0.8365252852608758
2016,28.5,42.3,20113.146981960002,25708.10796375,36612.0456,65848.4859,62320.15356375,85961.63288196,17.59222716497491,0.41589189515307123,42.646090486142796,1.008181808183045,9.795363789915585,0.23156888392235428,41.86443159835714,0.9897028746656535
2017,30.6,41.8,20623.78850151,26900.8610334,49789.218199999996,84586.5647,76690.0792334,105210.35320151,18.408435926140513,0.4403932039746534,52.47952502285584,1.2554910292549244,10.044052841644481,0.2402883454938871,51.23880837735877,1.2258088128554732
2018,13.7,21.4,8036.6188453800005,9415.12285038,21251.2808,28132.193199999998,30666.40365038,36168.81204538,6.442830417687043,0.30106684194799266,20.985221476081207,0.9806178259851032,3.9139377493733774,0.18289428735389615,17.61468119093182,0.8231159435014869
2019,39.3,54.7,30740.81782281,41146.00406763,39576.755300000004,72792.8503,80722.75936763,103533.66812281,28.156480885695714,0.5147437090620789,55.23911453076871,1.0098558415131391,14.971177511108767,0.2736961153767599,50.42224096890098,0.9217959957751549
2020,21.1,27.0,10846.60504527,13938.420934470001,36907.5407,51433.2388,50845.96163447,62279.84384527,9.538153011726735,0.3532649263602494,34.7942255710333,1.2886750211493816,5.282437522047077,0.19564583414989176,30.331092781787333,1.1233738067328642
2021,20.4,33.3,8628.62185311,10532.028447870001,30588.8085,39989.7212,41120.836947870004,48618.34305311,7.207136255385493,0.21643051817974457,28.139258860312502,0.8450227885979731,4.202250902488636,0.12619372079545454,23.677764473917208,0.711043978195712
2022,29.1,42.6,17135.637834930003,22802.2413558,29696.9195,51418.2031,52499.1608558,68553.84093493,15.603723555520073,0.36628459050516604,35.92552065862226,0.843322081188316,8.345278166362014,0.19589854850615057,33.38661084493344,0.783723259270738
2023,49.4,54.5,42974.87227317,52479.806147070005,34848.511,66678.9291,87328.31714707,109653.80137316999,35.912276104290605,0.6589408459502863,59.75934111341469,1.096501671805774,20.929320912258117,0.3840242369221673,53.4028253440763,0.9798683549371798
2024,21.5,42.5,12881.95133271,17200.53661341,32676.0717,49851.357,49876.608313410004,62733.30833271,11.77044020078239,0.2769515341360562,34.13089072541743,0.8030797817745278,6.2736775970990255,0.14761594346115353,30.55193587631981,0.7188690794428191
2025,17.0,24.2,8845.65193689,11704.589904900002,28238.556099999998,40752.8457,39943.1460049,49598.497636889995,8.009527763389599,0.33097222162766937,27.3333572113823,1.129477570718277,4.307947371862014,0.1780143542091741,24.155112485498375,0.9981451440288585
